编号,精灵名称,来源,习得等级,技能属性,技能名,能耗,类别,威力
NO039,矿晶虫,血脉技能,,水,水泡盾,2,防御,0
NO039,矿晶虫,血脉技能,,翼,风墙,2,防御,0
NO039,矿晶虫,可学技能石,,普通,偷袭,3,物攻,85
NO039,矿晶虫,可学技能石,,普通,后发制人,3,物攻,155
NO039,矿晶虫,可学技能石,,普通,嗜痛,2,防御,0
NO039,矿晶虫,可学技能石,,普通,复写,0,状态,0
NO039,矿晶虫,可学技能石,,光,天光,3,魔攻,95
NO039,矿晶虫,可学技能石,,普通,耀眼,1,状态,0
NO039,矿晶虫,可学技能石,,普通,血气,2,防御,0
NO039,矿晶虫,可学技能石,,普通,逆袭,3,物攻,100
NO039,矿晶虫,可学技能石,,地,遁地,3,防御,0
NO039,矿晶虫,可学技能石,,普通,锐利眼神,2,状态,0
NO039,矿晶虫,可学技能石,,普通,防反,2,防御,0
NO039,矿晶虫,可学技能石,,普通,防御,1,防御,0
NO039,矿晶虫,可学技能石,,地,震击,3,物攻,80
NO040,晶石蜗,精灵技能,LV1,普通,魔法增效,0,状态,0
NO040,晶石蜗,精灵技能,LV1,光,脉冲光线,0,魔攻,40
NO040,晶石蜗,精灵技能,LV6,地,淤泥表皮,2,防御,0
NO040,晶石蜗,精灵技能,LV12,地,泥浆,0,魔攻,40
NO040,晶石蜗,精灵技能,LV17,光,漫反射,1,状态,0
NO040,晶石蜗,精灵技能,LV25,光,透射,1,物攻,60
NO040,晶石蜗,精灵技能,LV26,地,蓄势待发,4,状态,0
NO040,晶石蜗,精灵技能,LV33,地,壁垒,2,防御,0
NO040,晶石蜗,精灵技能,LV34,地,扬沙,1,物攻,60
NO040,晶石蜗,精灵技能,LV38,地,跺地,2,物攻,80
NO040,晶石蜗,精灵技能,LV40,光,镜像反射,1,防御,0
NO040,晶石蜗,精灵技能,LV44,普通,音波弹,1,魔攻,60
NO040,晶石蜗,精灵技能,LV48,光,闪光冲击,3,物攻,100
NO040,晶石蜗,精灵技能,LV49,地,地刺,3,物攻,95
NO040,晶石蜗,血脉技能,,普通,防反,2,防御,0
NO040,晶石蜗,血脉技能,,恶,等价交换,3,防御,0
NO040,晶石蜗,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO040,晶石蜗,血脉技能,,电,集中,2,防御,0
NO040,晶石蜗,血脉技能,,武,反击拳,2,物攻,25
NO040,晶石蜗,血脉技能,,火,火焰护盾,2,防御,0
NO040,晶石蜗,血脉技能,,幽,虚化,2,防御,0
NO040,晶石蜗,血脉技能,,草,蜡质膜,2,防御,0
NO040,晶石蜗,血脉技能,,冰,雪替身,2,防御,0
NO040,晶石蜗,血脉技能,,虫,尾后针,2,物攻,80
NO040,晶石蜗,血脉技能,,光,折线冲击,2,物攻,80
NO040,晶石蜗,血脉技能,,机械,离子震荡,3,魔攻,90
NO040,晶石蜗,血脉技能,,萌,魅惑,1,魔攻,60
NO040,晶石蜗,血脉技能,,幻,冥想,3,防御,0
NO040,晶石蜗,血脉技能,,地,泥巴喷射,1,魔攻,60
NO040,晶石蜗,血脉技能,,毒,溃烂触碰,1,物攻,60
NO040,晶石蜗,血脉技能,,水,水泡盾,2,防御,0
NO040,晶石蜗,血脉技能,,翼,风墙,2,防御,0
NO040,晶石蜗,可学技能石,,普通,偷袭,3,物攻,85
NO040,晶石蜗,可学技能石,,冰,冰墙,2,防御,0
NO040,晶石蜗,可学技能石,,冰,冰雹,4,物攻,105
NO040,晶石蜗,可学技能石,,地,刺盾,2,防御,0
NO040,晶石蜗,可学技能石,,普通,后发制人,3,物攻,155
NO040,晶石蜗,可学技能石,,普通,嗜痛,2,防御,0
NO040,晶石蜗,可学技能石,,普通,复写,0,状态,0
NO040,晶石蜗,可学技能石,,光,天光,3,魔攻,95
NO040,晶石蜗,可学技能石,,冰,寒风吹,3,魔攻,70
NO040,晶石蜗,可学技能石,,普通,有效预防,1,防御,0
NO040,晶石蜗,可学技能石,,水,潮汐,4,防御,0
NO040,晶石蜗,可学技能石,,普通,耀眼,1,状态,0
NO040,晶石蜗,可学技能石,,普通,血气,2,防御,0
NO040,晶石蜗,可学技能石,,普通,逆袭,3,物攻,100
NO040,晶石蜗,可学技能石,,地,遁地,3,防御,0
NO040,晶石蜗,可学技能石,,普通,锐利眼神,2,状态,0
NO040,晶石蜗,可学技能石,,普通,防御,1,防御,0
NO040,晶石蜗,可学技能石,,地,震击,3,物攻,80
NO041,奇丽草,精灵技能,LV1,普通,能量炮,3,魔攻,50
NO041,奇丽草,精灵技能,LV1,普通,晒太阳,1,状态,0
NO041,奇丽草,精灵技能,LV1,草,刺藤,3,物攻,45
NO041,奇丽草,精灵技能,LV7,普通,防御,1,防御,0
NO041,奇丽草,精灵技能,LV9,普通,力量增效,1,状态,0
NO041,奇丽草,精灵技能,LV11,草,棘突,3,魔攻,100
NO041,奇丽草,精灵技能,LV14,草,氧输送,2,状态,0
NO041,奇丽草,精灵技能,LV17,草,纤维化,2,防御,0
NO041,奇丽草,精灵技能,LV22,草,顶端优势,3,物攻,100
NO041,奇丽草,精灵技能,LV26,草,孢子,3,状态,0
NO041,奇丽草,精灵技能,LV28,草,叶绿光束,4,魔攻,120
NO041,奇丽草,精灵技能,LV34,草,富养化,3,状态,0
NO041,奇丽草,精灵技能,LV35,草,仙人掌刺击,6,物攻,150
NO041,奇丽草,精灵技能,LV39,草,花炮,2,状态,0
NO041,奇丽草,精灵技能,LV40,草,盛开,1,状态,0
NO041,奇丽草,精灵技能,LV49,草,芳香诱引,1,状态,0
NO041,奇丽草,血脉技能,,普通,休息回复,2,状态,0
NO041,奇丽草,血脉技能,,恶,贪婪,2,状态,0
NO041,奇丽草,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO041,奇丽草,血脉技能,,电,麻痹,2,状态,0
NO041,奇丽草,血脉技能,,武,化劲,2,状态,0
NO041,奇丽草,血脉技能,,火,引燃,2,状态,0
NO041,奇丽草,血脉技能,,幽,勾魂,1,状态,0
NO041,奇丽草,血脉技能,,草,荆棘爪,2,物攻,80
NO041,奇丽草,血脉技能,,冰,霜降,1,状态,0
NO041,奇丽草,血脉技能,,虫,假寐,2,状态,0
NO041,奇丽草,血脉技能,,光,虹光冲击,3,魔攻,100
NO041,奇丽草,血脉技能,,机械,啮合传递,1,状态,0
NO041,奇丽草,血脉技能,,萌,甜心续航,3,状态,0
NO041,奇丽草,血脉技能,,幻,超维投射,4,状态,0
NO041,奇丽草,血脉技能,,地,泥浆铠甲,2,状态,0
NO041,奇丽草,血脉技能,,毒,毒孢子,3,状态,0
NO041,奇丽草,血脉技能,,水,蓄水,1,状态,0
NO041,奇丽草,血脉技能,,翼,羽化加速,2,状态,0
NO041,奇丽草,可学技能石,,普通,主场优势,3,状态,0
NO041,奇丽草,可学技能石,,光,光刃,4,物攻,120
NO041,奇丽草,可学技能石,,草,光能聚集,7,魔攻,100
NO041,奇丽草,可学技能石,,普通,取念,0,状态,0
NO041,奇丽草,可学技能石,,普通,应激反应,2,状态,0
NO041,奇丽草,可学技能石,,普通,快速移动,1,状态,0
NO041,奇丽草,可学技能石,,普通,有效预防,1,防御,0
NO041,奇丽草,可学技能石,,地,流沙,2,状态,0
NO041,奇丽草,可学技能石,,光,漫反射,1,状态,0
NO041,奇丽草,可学技能石,,普通,热身运动,2,状态,0
NO041,奇丽草,可学技能石,,地,落石,1,物攻,55
NO041,奇丽草,可学技能石,,普通,践踏,4,物攻,130
NO041,奇丽草,可学技能石,,地,跺地,2,物攻,80
NO041,奇丽草,可学技能石,,光,透射,1,物攻,60
NO041,奇丽草,可学技能石,,地,钧势,3,状态,0
NO041,奇丽草,可学技能石,,光,闪光,1,魔攻,60
NO041,奇丽草,可学技能石,,普通,防反,2,防御,0
NO042,奇丽叶,精灵技能,LV1,普通,能量炮,3,魔攻,50
NO042,奇丽叶,精灵技能,LV1,普通,晒太阳,1,状态,0
NO042,奇丽叶,精灵技能,LV1,草,刺藤,3,物攻,45
NO042,奇丽叶,精灵技能,LV7,普通,防御,1,防御,0
NO042,奇丽叶,精灵技能,LV9,普通,力量增效,1,状态,0
NO042,奇丽叶,精灵技能,LV11,草,棘突,3,魔攻,100
NO042,奇丽叶,精灵技能,LV14,草,氧输送,2,状态,0
NO042,奇丽叶,精灵技能,LV17,草,纤维化,2,防御,0
NO042,奇丽叶,精灵技能,LV22,草,顶端优势,3,物攻,100
NO042,奇丽叶,精灵技能,LV26,草,孢子,3,状态,0
NO042,奇丽叶,精灵技能,LV28,草,叶绿光束,4,魔攻,120
NO042,奇丽叶,精灵技能,LV34,草,富养化,3,状态,0
NO042,奇丽叶,精灵技能,LV35,草,仙人掌刺击,6,物攻,150
NO042,奇丽叶,精灵技能,LV39,草,花炮,2,状态,0
NO042,奇丽叶,精灵技能,LV40,草,盛开,1,状态,0
NO042,奇丽叶,精灵技能,LV49,草,芳香诱引,1,状态,0
NO042,奇丽叶,血脉技能,,普通,休息回复,2,状态,0
NO042,奇丽叶,血脉技能,,恶,贪婪,2,状态,0
NO042,奇丽叶,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO042,奇丽叶,血脉技能,,电,麻痹,2,状态,0
NO042,奇丽叶,血脉技能,,武,化劲,2,状态,0
NO042,奇丽叶,血脉技能,,火,引燃,2,状态,0
NO042,奇丽叶,血脉技能,,幽,勾魂,1,状态,0
NO042,奇丽叶,血脉技能,,草,荆棘爪,2,物攻,80
NO042,奇丽叶,血脉技能,,冰,霜降,1,状态,0
NO042,奇丽叶,血脉技能,,虫,假寐,2,状态,0
NO042,奇丽叶,血脉技能,,光,虹光冲击,3,魔攻,100
NO042,奇丽叶,血脉技能,,机械,啮合传递,1,状态,0
NO042,奇丽叶,血脉技能,,萌,甜心续航,3,状态,0
NO042,奇丽叶,血脉技能,,幻,超维投射,4,状态,0
NO042,奇丽叶,血脉技能,,地,泥浆铠甲,2,状态,0
NO042,奇丽叶,血脉技能,,毒,毒孢子,3,状态,0
NO042,奇丽叶,血脉技能,,水,蓄水,1,状态,0
NO042,奇丽叶,血脉技能,,翼,羽化加速,2,状态,0
NO042,奇丽叶,可学技能石,,普通,主场优势,3,状态,0
NO042,奇丽叶,可学技能石,,光,光刃,4,物攻,120
NO042,奇丽叶,可学技能石,,草,光能聚集,7,魔攻,100
NO042,奇丽叶,可学技能石,,普通,取念,0,状态,0
NO042,奇丽叶,可学技能石,,普通,应激反应,2,状态,0
NO042,奇丽叶,可学技能石,,普通,快速移动,1,状态,0
NO042,奇丽叶,可学技能石,,普通,有效预防,1,防御,0
NO042,奇丽叶,可学技能石,,地,流沙,2,状态,0
NO042,奇丽叶,可学技能石,,光,漫反射,1,状态,0
NO042,奇丽叶,可学技能石,,普通,热身运动,2,状态,0
NO042,奇丽叶,可学技能石,,地,落石,1,物攻,55
NO042,奇丽叶,可学技能石,,普通,践踏,4,物攻,130
NO042,奇丽叶,可学技能石,,地,跺地,2,物攻,80
NO042,奇丽叶,可学技能石,,光,透射,1,物攻,60
NO042,奇丽叶,可学技能石,,地,钧势,3,状态,0
NO042,奇丽叶,可学技能石,,光,闪光,1,魔攻,60
NO042,奇丽叶,可学技能石,,普通,防反,2,防御,0
NO043,奇丽花,精灵技能,LV1,普通,能量炮,3,魔攻,50
NO043,奇丽花,精灵技能,LV1,普通,晒太阳,1,状态,0
NO043,奇丽花,精灵技能,LV1,草,刺藤,3,物攻,45
NO043,奇丽花,精灵技能,LV7,普通,防御,1,防御,0
NO043,奇丽花,精灵技能,LV9,普通,力量增效,1,状态,0
NO043,奇丽花,精灵技能,LV11,草,棘突,3,魔攻,100
NO043,奇丽花,精灵技能,LV14,草,氧输送,2,状态,0
NO043,奇丽花,精灵技能,LV17,草,纤维化,2,防御,0
NO043,奇丽花,精灵技能,LV22,草,顶端优势,3,物攻,100
NO043,奇丽花,精灵技能,LV26,草,孢子,3,状态,0
NO043,奇丽花,精灵技能,LV28,草,叶绿光束,4,魔攻,120
NO043,奇丽花,精灵技能,LV34,草,富养化,3,状态,0
NO043,奇丽花,精灵技能,LV35,草,仙人掌刺击,6,物攻,150
NO043,奇丽花,精灵技能,LV39,草,花炮,2,状态,0
NO043,奇丽花,精灵技能,LV40,草,盛开,1,状态,0
NO043,奇丽花,精灵技能,LV49,草,芳香诱引,1,状态,0
NO043,奇丽花,血脉技能,,普通,休息回复,2,状态,0
NO043,奇丽花,血脉技能,,恶,贪婪,2,状态,0
NO043,奇丽花,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO043,奇丽花,血脉技能,,电,麻痹,2,状态,0
NO043,奇丽花,血脉技能,,武,化劲,2,状态,0
NO043,奇丽花,血脉技能,,火,引燃,2,状态,0
NO043,奇丽花,血脉技能,,幽,勾魂,1,状态,0
NO043,奇丽花,血脉技能,,草,荆棘爪,2,物攻,80
NO043,奇丽花,血脉技能,,冰,霜降,1,状态,0
NO043,奇丽花,血脉技能,,虫,假寐,2,状态,0
NO043,奇丽花,血脉技能,,光,虹光冲击,3,魔攻,100
NO043,奇丽花,血脉技能,,机械,啮合传递,1,状态,0
NO043,奇丽花,血脉技能,,萌,甜心续航,3,状态,0
NO043,奇丽花,血脉技能,,幻,超维投射,4,状态,0
NO043,奇丽花,血脉技能,,地,泥浆铠甲,2,状态,0
NO043,奇丽花,血脉技能,,毒,毒孢子,3,状态,0
NO043,奇丽花,血脉技能,,水,蓄水,1,状态,0
NO043,奇丽花,血脉技能,,翼,羽化加速,2,状态,0
NO043,奇丽花,可学技能石,,普通,主场优势,3,状态,0
NO043,奇丽花,可学技能石,,光,光刃,4,物攻,120
NO043,奇丽花,可学技能石,,草,光能聚集,7,魔攻,100
NO043,奇丽花,可学技能石,,普通,取念,0,状态,0
NO043,奇丽花,可学技能石,,普通,应激反应,2,状态,0
NO043,奇丽花,可学技能石,,普通,快速移动,1,状态,0
NO043,奇丽花,可学技能石,,普通,有效预防,1,防御,0
NO043,奇丽花,可学技能石,,地,流沙,2,状态,0
NO043,奇丽花,可学技能石,,光,漫反射,1,状态,0
NO043,奇丽花,可学技能石,,普通,热身运动,2,状态,0
NO043,奇丽花,可学技能石,,地,落石,1,物攻,55
NO043,奇丽花,可学技能石,,普通,践踏,4,物攻,130
NO043,奇丽花,可学技能石,,地,跺地,2,物攻,80
NO043,奇丽花,可学技能石,,光,透射,1,物攻,60
NO043,奇丽花,可学技能石,,地,钧势,3,状态,0
NO043,奇丽花,可学技能石,,光,闪光,1,魔攻,60
NO043,奇丽花,可学技能石,,普通,防反,2,防御,0
NO044,丢丢,精灵技能,LV1,普通,力量增效,1,状态,0
NO044,丢丢,精灵技能,LV1,普通,防御,1,防御,0
NO044,丢丢,精灵技能,LV1,草,筛管奔流,3,物攻,80
NO044,丢丢,精灵技能,LV5,草,顶端优势,3,物攻,100
NO044,丢丢,精灵技能,LV6,普通,棘刺,2,状态,0
NO044,丢丢,精灵技能,LV12,普通,天旋地转,3,物攻,60
NO044,丢丢,精灵技能,LV17,草,富养化,3,状态,0
NO044,丢丢,精灵技能,LV21,草,藤绞,4,物攻,80
NO044,丢丢,精灵技能,LV23,普通,主场优势,3,状态,0
NO044,丢丢,精灵技能,LV31,草,孢子爆散,3,物攻,30
NO044,丢丢,精灵技能,LV33,草,丰饶,3,状态,0
NO044,丢丢,精灵技能,LV39,草,抽枝,4,物攻,90
NO044,丢丢,精灵技能,LV40,草,盛开,1,状态,0
NO044,丢丢,血脉技能,,普通,猛烈撞击,1,物攻,65
NO044,丢丢,血脉技能,,恶,恶能量,1,物攻,60
NO044,丢丢,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO044,丢丢,血脉技能,,电,球状闪电,1,物攻,60
NO044,丢丢,血脉技能,,武,缠丝劲,1,物攻,25
NO044,丢丢,血脉技能,,火,火焰冲锋,1,物攻,60
NO044,丢丢,血脉技能,,幽,灵媒,3,魔攻,100
NO044,丢丢,血脉技能,,草,荆棘爪,2,物攻,80
NO044,丢丢,血脉技能,,冰,冰爪,2,物攻,80
NO044,丢丢,血脉技能,,虫,噬心,1,物攻,60
NO044,丢丢,血脉技能,,光,透射,1,物攻,60
NO044,丢丢,血脉技能,,机械,械斗,1,物攻,45
NO044,丢丢,血脉技能,,萌,碰爪,1,物攻,60
NO044,丢丢,血脉技能,,幻,星云漩涡,1,物攻,60
NO044,丢丢,血脉技能,,地,跺地,2,物攻,80
NO044,丢丢,血脉技能,,毒,毒沼,2,物攻,80
NO044,丢丢,血脉技能,,水,泡沫,1,物攻,60
NO044,丢丢,血脉技能,,翼,风矢,2,物攻,80
NO044,丢丢,可学技能石,,普通,偷袭,3,物攻,85
NO044,丢丢,可学技能石,,普通,取念,0,状态,0
NO044,丢丢,可学技能石,,普通,垂死反击,4,物攻,80
NO044,丢丢,可学技能石,,虫,尾后针,2,物攻,80
NO044,丢丢,可学技能石,,普通,摇篮曲,5,状态,0
NO044,丢丢,可学技能石,,普通,晒太阳,1,状态,0
NO044,丢丢,可学技能石,,草,移花接木,2,状态,0
NO044,丢丢,可学技能石,,普通,精神扰乱,0,状态,0
NO044,丢丢,可学技能石,,普通,聒噪,3,状态,0
NO044,丢丢,可学技能石,,虫,虫击,3,物攻,90
NO044,丢丢,可学技能石,,虫,虫群智慧,3,状态,0
NO044,丢丢,可学技能石,,普通,连续爪击,2,物攻,30
NO044,丢丢,可学技能石,,恶,魔爪,0,物攻,30
NO045,卡卡虫,精灵技能,LV1,普通,力量增效,1,状态,0
NO045,卡卡虫,精灵技能,LV1,普通,防御,1,防御,0
NO045,卡卡虫,精灵技能,LV1,草,筛管奔流,3,物攻,80
NO045,卡卡虫,精灵技能,LV5,草,顶端优势,3,物攻,100
NO045,卡卡虫,精灵技能,LV6,普通,棘刺,2,状态,0
NO045,卡卡虫,精灵技能,LV12,普通,天旋地转,3,物攻,60
NO045,卡卡虫,精灵技能,LV17,草,富养化,3,状态,0
NO045,卡卡虫,精灵技能,LV21,草,藤绞,4,物攻,80
NO045,卡卡虫,精灵技能,LV23,普通,主场优势,3,状态,0
NO045,卡卡虫,精灵技能,LV31,草,孢子爆散,3,物攻,30
NO045,卡卡虫,精灵技能,LV33,草,丰饶,3,状态,0
NO045,卡卡虫,精灵技能,LV39,草,抽枝,4,物攻,90
NO045,卡卡虫,精灵技能,LV40,草,盛开,1,状态,0
NO045,卡卡虫,血脉技能,,普通,猛烈撞击,1,物攻,65
NO045,卡卡虫,血脉技能,,恶,恶能量,1,物攻,60
NO045,卡卡虫,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO045,卡卡虫,血脉技能,,电,球状闪电,1,物攻,60
NO045,卡卡虫,血脉技能,,武,缠丝劲,1,物攻,25
NO045,卡卡虫,血脉技能,,火,火焰冲锋,1,物攻,60
NO045,卡卡虫,血脉技能,,幽,灵媒,3,魔攻,100
NO045,卡卡虫,血脉技能,,草,荆棘爪,2,物攻,80
NO045,卡卡虫,血脉技能,,冰,冰爪,2,物攻,80
NO045,卡卡虫,血脉技能,,虫,噬心,1,物攻,60
NO045,卡卡虫,血脉技能,,光,透射,1,物攻,60
NO045,卡卡虫,血脉技能,,机械,械斗,1,物攻,45
NO045,卡卡虫,血脉技能,,萌,碰爪,1,物攻,60
NO045,卡卡虫,血脉技能,,幻,星云漩涡,1,物攻,60
NO045,卡卡虫,血脉技能,,地,跺地,2,物攻,80
NO045,卡卡虫,血脉技能,,毒,毒沼,2,物攻,80
NO045,卡卡虫,血脉技能,,水,泡沫,1,物攻,60
NO045,卡卡虫,血脉技能,,翼,风矢,2,物攻,80
NO045,卡卡虫,可学技能石,,普通,偷袭,3,物攻,85
NO045,卡卡虫,可学技能石,,普通,取念,0,状态,0
NO045,卡卡虫,可学技能石,,普通,垂死反击,4,物攻,80
NO045,卡卡虫,可学技能石,,虫,尾后针,2,物攻,80
NO045,卡卡虫,可学技能石,,普通,摇篮曲,5,状态,0
NO045,卡卡虫,可学技能石,,普通,晒太阳,1,状态,0
NO045,卡卡虫,可学技能石,,草,移花接木,2,状态,0
NO045,卡卡虫,可学技能石,,普通,精神扰乱,0,状态,0
NO045,卡卡虫,可学技能石,,普通,聒噪,3,状态,0
NO045,卡卡虫,可学技能石,,虫,虫击,3,物攻,90
NO045,卡卡虫,可学技能石,,虫,虫群智慧,3,状态,0
NO045,卡卡虫,可学技能石,,普通,连续爪击,2,物攻,30
NO045,卡卡虫,可学技能石,,恶,魔爪,0,物攻,30
NO046,卡瓦重,精灵技能,LV1,普通,力量增效,1,状态,0
NO046,卡瓦重,精灵技能,LV1,普通,防御,1,防御,0
NO046,卡瓦重,精灵技能,LV1,草,筛管奔流,3,物攻,80
NO046,卡瓦重,精灵技能,LV5,草,顶端优势,3,物攻,100
NO046,卡瓦重,精灵技能,LV6,普通,棘刺,2,状态,0
NO046,卡瓦重,精灵技能,LV12,普通,天旋地转,3,物攻,60
NO046,卡瓦重,精灵技能,LV17,草,富养化,3,状态,0
NO046,卡瓦重,精灵技能,LV21,草,藤绞,4,物攻,80
NO046,卡瓦重,精灵技能,LV23,普通,主场优势,3,状态,0
NO046,卡瓦重,精灵技能,LV31,草,孢子爆散,3,物攻,30
NO046,卡瓦重,精灵技能,LV33,草,丰饶,3,状态,0
NO046,卡瓦重,精灵技能,LV39,草,抽枝,4,物攻,90
NO046,卡瓦重,精灵技能,LV40,草,盛开,1,状态,0
NO046,卡瓦重,血脉技能,,普通,猛烈撞击,1,物攻,65
NO046,卡瓦重,血脉技能,,恶,恶能量,1,物攻,60
NO046,卡瓦重,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO046,卡瓦重,血脉技能,,电,球状闪电,1,物攻,60
NO046,卡瓦重,血脉技能,,武,缠丝劲,1,物攻,25
NO046,卡瓦重,血脉技能,,火,火焰冲锋,1,物攻,60
NO046,卡瓦重,血脉技能,,幽,灵媒,3,魔攻,100
NO046,卡瓦重,血脉技能,,草,荆棘爪,2,物攻,80
NO046,卡瓦重,血脉技能,,冰,冰爪,2,物攻,80
NO046,卡瓦重,血脉技能,,虫,噬心,1,物攻,60
NO046,卡瓦重,血脉技能,,光,透射,1,物攻,60
NO046,卡瓦重,血脉技能,,机械,械斗,1,物攻,45
NO046,卡瓦重,血脉技能,,萌,碰爪,1,物攻,60
NO046,卡瓦重,血脉技能,,幻,星云漩涡,1,物攻,60
NO046,卡瓦重,血脉技能,,地,跺地,2,物攻,80
NO046,卡瓦重,血脉技能,,毒,毒沼,2,物攻,80
NO046,卡瓦重,血脉技能,,水,泡沫,1,物攻,60
NO046,卡瓦重,血脉技能,,翼,风矢,2,物攻,80
NO046,卡瓦重,可学技能石,,普通,偷袭,3,物攻,85
NO046,卡瓦重,可学技能石,,普通,取念,0,状态,0
NO046,卡瓦重,可学技能石,,普通,垂死反击,4,物攻,80
NO046,卡瓦重,可学技能石,,虫,尾后针,2,物攻,80
NO046,卡瓦重,可学技能石,,普通,摇篮曲,5,状态,0
NO046,卡瓦重,可学技能石,,普通,晒太阳,1,状态,0
NO046,卡瓦重,可学技能石,,草,移花接木,2,状态,0
NO046,卡瓦重,可学技能石,,普通,精神扰乱,0,状态,0
NO046,卡瓦重,可学技能石,,普通,聒噪,3,状态,0
NO046,卡瓦重,可学技能石,,虫,虫击,3,物攻,90
NO046,卡瓦重,可学技能石,,虫,虫群智慧,3,状态,0
NO046,卡瓦重,可学技能石,,普通,连续爪击,2,物攻,30
NO046,卡瓦重,可学技能石,,恶,魔爪,0,物攻,30
NO047,护主犬,精灵技能,LV1,普通,防御,1,防御,0
NO047,护主犬,精灵技能,LV1,火,火苗,0,物攻,30
NO047,护主犬,精灵技能,LV7,火,引燃,2,状态,0
NO047,护主犬,精灵技能,LV9,火,流星火雨,3,物攻,75
NO047,护主犬,精灵技能,LV11,普通,力量增效,1,状态,0
NO047,护主犬,精灵技能,LV22,普通,当头棒喝,3,物攻,80
NO047,护主犬,精灵技能,LV24,火,焚烧烙印,3,状态,0
NO047,护主犬,精灵技能,LV28,火,高温回火,2,魔攻,40
NO047,护主犬,精灵技能,LV35,火,怒火,1,状态,0
NO047,护主犬,精灵技能,LV42,火,灼伤,4,物攻,120
NO047,护主犬,精灵技能,LV46,火,热身,1,状态,0
NO047,护主犬,精灵技能,LV47,火,火云车,5,物攻,140
NO047,护主犬,精灵技能,LV49,火,闪燃,1,物攻,40
NO047,护主犬,血脉技能,,普通,拍击,1,魔攻,65
NO047,护主犬,血脉技能,,恶,恶能量,1,物攻,60
NO047,护主犬,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO047,护主犬,血脉技能,,电,球状闪电,1,物攻,60
NO047,护主犬,血脉技能,,武,缠丝劲,1,物攻,25
NO047,护主犬,血脉技能,,火,火焰箭,2,物攻,80
NO047,护主犬,血脉技能,,幽,幻象,1,物攻,60
NO047,护主犬,血脉技能,,草,花香,1,魔攻,60
NO047,护主犬,血脉技能,,冰,冷风,1,魔攻,60
NO047,护主犬,血脉技能,,虫,噬心,1,物攻,60
NO047,护主犬,血脉技能,,光,虹光冲击,3,魔攻,100
NO047,护主犬,血脉技能,,机械,离子震荡,3,魔攻,90
NO047,护主犬,血脉技能,,萌,魅惑,1,魔攻,60
NO047,护主犬,血脉技能,,幻,念力膨胀,2,物攻,80
NO047,护主犬,血脉技能,,地,扬沙,1,物攻,60
NO047,护主犬,血脉技能,,毒,溃烂触碰,1,物攻,60
NO047,护主犬,血脉技能,,水,泡沫,1,物攻,60
NO047,护主犬,血脉技能,,翼,风矢,2,物攻,80
NO047,护主犬,可学技能石,,普通,借用,0,状态,0
NO047,护主犬,可学技能石,,普通,偷袭,3,物攻,85
NO047,护主犬,可学技能石,,普通,吞噬,6,物攻,150
NO047,护主犬,可学技能石,,电,导电撞击,0,物攻,40
NO047,护主犬,可学技能石,,普通,摇篮曲,5,状态,0
NO047,护主犬,可学技能石,,恶,撕咬,3,物攻,30
NO047,护主犬,可学技能石,,普通,晒太阳,1,状态,0
NO047,护主犬,可学技能石,,恶,诋毁,2,物攻,80
NO047,护主犬,可学技能石,,恶,贪婪,2,状态,0
NO047,护主犬,可学技能石,,恶,跌落,3,物攻,120
NO047,护主犬,可学技能石,,电,过载回路,1,状态,0
NO047,护主犬,可学技能石,,光,闪光冲击,3,物攻,100
NO047,护主犬,可学技能石,,电,麻痹,2,状态,0
NO048,音速犬,精灵技能,LV1,普通,防御,1,防御,0
NO048,音速犬,精灵技能,LV1,火,火苗,0,物攻,30
NO048,音速犬,精灵技能,LV7,火,引燃,2,状态,0
NO048,音速犬,精灵技能,LV9,火,流星火雨,3,物攻,75
NO048,音速犬,精灵技能,LV11,普通,力量增效,1,状态,0
NO048,音速犬,精灵技能,LV22,普通,当头棒喝,3,物攻,80
NO048,音速犬,精灵技能,LV24,火,焚烧烙印,3,状态,0
NO048,音速犬,精灵技能,LV28,火,高温回火,2,魔攻,40
NO048,音速犬,精灵技能,LV35,火,怒火,1,状态,0
NO048,音速犬,精灵技能,LV42,火,灼伤,4,物攻,120
NO048,音速犬,精灵技能,LV46,火,热身,1,状态,0
NO048,音速犬,精灵技能,LV47,火,火云车,5,物攻,140
NO048,音速犬,精灵技能,LV49,火,闪燃,1,物攻,40
NO048,音速犬,血脉技能,,普通,拍击,1,魔攻,65
NO048,音速犬,血脉技能,,恶,恶能量,1,物攻,60
NO048,音速犬,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO048,音速犬,血脉技能,,电,球状闪电,1,物攻,60
NO048,音速犬,血脉技能,,武,缠丝劲,1,物攻,25
NO048,音速犬,血脉技能,,火,火焰箭,2,物攻,80
NO048,音速犬,血脉技能,,幽,幻象,1,物攻,60
NO048,音速犬,血脉技能,,草,花香,1,魔攻,60
NO048,音速犬,血脉技能,,冰,冷风,1,魔攻,60
NO048,音速犬,血脉技能,,虫,噬心,1,物攻,60
